siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
323363440,00013,32336344000013,O,1982-02-01,21,2023,,2025-02-11T02:12:38.771,true,A,O,,1982-02-01,5710,SODILIO,,,,,,,,,,,47.11D,NAFRev2,,N,,21,2023,00013,2024-03-22T09:28:19,PME,2023,CHEMIN RURAL,24,,,CHEMIN,D'YERRES A BRIE COMTE ROBE,94440,VILLECRESNES,,94075,,,940750849_B,665589.7243109563,6845435.256311505,A,,,,,47.11D,NAFRev2,O
323377739,00301,32337773900301,O,2015-06-01,22,2023,,2025-04-02T16:01:25.617,true,A,O,,1981-12-01,5710,HENNER,,,,,,,,,,,66.22Z,NAFRev2,,N,,31,2023,00301,2025-04-02T16:01:25.602,ETI,2023,,14,,,BOULEVARD,DU GENERAL LECLERC,92200,NEUILLY-SUR-SEINE,,92051,,,920514145_B,645550.8686158144,6865559.295427631,A,,,,,66.22Z,NAFRev2,O
323391367,00030,32339136700030,O,1984-01-01,41,2023,,2025-02-07T02:18:30.904,true,A,O,,1981-11-25,8110,CAISSE PRIMAIRE ASSUR MALADIE VAL D'OISE,CPAM,,,,,,,,,,84.30A,NAFRev2,,,,41,2023,00030,2024-03-22T09:28:19,ETI,2023,,2,,,RUE,DES CHAUFFOURS,95000,CERGY,,95127,,,951270207_B,632487.2331393714,6882617.027240383,A,,,,,84.30A,NAFRev2,O
323420349,00058,32342034900058,O,2010-03-23,22,2023,,2025-03-14T11:01:09.759,true,A,O,,1982-01-01,5505,SCOPING - SOCIETE DE COORDINATION D'ORDONNANCEMENT DE PILOTAGE ET D'INGENIERIE,SCOPING SA,,,,,,,,,,71.12B,NAFRev2,,N,,22,2023,00058,2025-07-02T05:14:30.645,PME,2023,IMMEUBLE LE BERGSON,15,,,AVENUE,EMILE BAUDOT,91300,MASSY,,91377,,,913771425_B,645787.9754489942,6846860.577606164,A,SCOP'ING SA,,,,71.12B,NAFRev2,O
323459974,00073,32345997400073,O,2008-10-27,32,2023,,2025-10-20T13:01:46.301,true,A,O,,1981-12-01,5710,INEO DEFENSE,,,,,,,,,,,26.30Z,NAFRev2,,N,,32,2023,00073,2025-10-20T13:01:46.288,GE,2023,,23,,,RUE,GENERAL VALERIE ANDRE,78140,VELIZY-VILLACOUBLAY,,78640,,,786400233_B,641085.0062799103,6853456.031064454,A,EQUANS,,,AMP,26.30Z,NAFRev2,O
323514240,00023,32351424000023,O,1999-12-31,21,2023,,2025-02-13T02:19:28.276,true,A,O,,1981-04-29,5710,TEKSCEND PHOTOMASK FRANCE,,,,,,,,,,,26.11Z,NAFRev2,,N,,21,2023,00023,2024-12-02T15:01:10.916,PME,2023,,224,,,BOULEVARD,JOHN KENNEDY,91100,CORBEIL-ESSONNES,,91174,,,911742380_B,661455.0037952818,6830465.036971751,A,,,,,26.11Z,NAFRev2,O
323532267,00057,32353226700057,O,1986-12-10,42,2023,,2025-01-21T03:09:24.223,true,A,O,,1981-07-10,8110,CAISSE PRIMAIRE ASSURANCE MALADIE,CPAM,,,,,,,,,,84.30A,NAFRev2,,,,42,2023,00057,2024-03-22T09:28:19,ETI,2023,,92,,,AVENUE,DE PARIS,78000,VERSAILLES,,78646,,,786462180_B,637378.5986459804,6855643.910219431,A,,,,,84.30A,NAFRev2,O
323540534,00050,32354053400050,O,2015-06-30,21,2023,,2024-03-30T04:21:43.523,true,A,O,,1981-11-18,5710,COMPAGNIE FRANCAISE D'INFORMATIQUE,,,,,,,,,,,46.51Z,NAFRev2,,,,22,2023,00050,2024-03-22T09:28:19,ETI,2023,,,,,RUE,PLEYEL,93200,SAINT-DENIS,,93066,,,930667205_B,652056.996379136,6868817.188551141,A,,,,,46.52Z,NAFRev2,O
323576579,00102,32357657900102,O,1997-07-01,21,2023,,2025-02-18T02:15:34.145,true,A,O,,1982-01-11,5499,AGGREKO FRANCE,,,,,,,,,,,77.39Z,NAFRev2,,N,,22,2023,00102,2024-12-05T05:09:09.067,ETI,2023,,5,,,RUE,BOOLE,91240,SAINT-MICHEL-SUR-ORGE,,91570,,,915700231_B,649405.0303065341,6836123.855428686,A,,,,,77.39Z,NAFRev2,O
323636837,00045,32363683700045,O,1985-10-01,42,2023,,2024-03-30T11:20:45.787,true,A,O,,1981-11-23,8110,CAISSE PRIMAIRE ASSURANCE MALADIE DES HAUTS DE SEINE,,,,,,,,,,,84.30A,NAFRev2,,,,42,2023,00045,2024-03-22T09:28:19,ETI,2023,,26,,,BOULEVARD,DE PESARO,92000,NANTERRE,,92050,,,920507190_B,643237.2290157932,6866399.975437232,A,,,,,84.30A,NAFRev2,O
323649525,00256,32364952500256,O,1994-06-13,22,2023,,2025-01-28T02:12:19.498,true,A,O,,1981-02-27,9220,ADEF RESIDENCES,,,,,,,,,,,87.10A,NAFRev2,W941000897,O,,51,2023,00256,2024-03-22T09:28:19,ETI,2023,19 AU 21,19,,,RUE,BAUDIN,94200,IVRY-SUR-SEINE,,94041,,,940410615_B,654065.0720815333,6857586.311283066,A,,,,,87.10A,NAFRev2,O
323658252,00016,32365825200016,O,1981-09-01,21,2023,,2024-03-30T03:43:38.854,true,A,O,,1981-09-01,9220,LES FRANCS BOURGEOIS-LA SALLE,,,,,,,,,,,85.31Z,NAFRev2,W751057556,O,,31,2023,00016,2024-03-22T09:28:19,PME,2023,,21,,,RUE,SAINT-ANTOINE,75004,PARIS,,75104,,,751048490_B,653463.0437637378,6861687.478411858,A,,,,,85.20Z,NAFRev2,O
323659136,00010,32365913600010,O,1981-03-24,21,2023,,2025-02-07T02:19:16.085,true,A,O,,1981-03-24,5710,DISREINE,,,,,,,,,,,47.11D,NAFRev2,,N,,21,2023,00010,2024-09-03T13:10:19.569,PME,2023,,79,,,RUE,DE LA BIEVRE,92340,BOURG-LA-REINE,,92014,,,920140630_B,650354.7074400651,6853539.990972167,A,,,,,47.11D,NAFRev2,O
323690271,00032,32369027100032,O,1992-02-10,42,2023,,2025-01-31T02:44:02.573,true,A,O,,1981-11-12,8110,CPAM SEINE SAINT DENIS,,,,,,,,,,,84.30A,NAFRev2,,,,42,2023,00032,2024-03-22T09:28:19,ETI,2023,,195,,,AVENUE,PAUL VAILLANT - COUTURIER,93000,BOBIGNY,,93008,,,930087145_B,659828.9315226423,6867741.285558783,A,,,,,84.30A,NAFRev2,O
323722165,00020,32372216500020,O,1982-06-01,41,2023,,2025-01-21T02:45:25.276,true,A,O,,1982-01-01,8110,CAISSE PRIMAIRE ASSURANCE MALADIE,,,,,,,,,,,84.30A,NAFRev2,,N,,42,2023,00020,2024-03-22T09:28:19,ETI,2023,,2,,,RUE,AMBROISE CROIZAT,91000,EVRY-COURCOURONNES,,91228,,,,,,A,,,,,84.30A,NAFRev2,O
323790956,00052,32379095600052,O,2004-01-12,31,2023,,2025-07-17T20:00:43.569,true,A,O,,1982-01-29,5710,ALTAVIA PARIS,,,,,,,,,,,73.11Z,NAFRev2,,N,,31,2023,00052,2025-07-17T20:00:43.558,ETI,2023,,10,,,RUE,BLANQUI,93400,SAINT-OUEN-SUR-SEINE,,93070,,,930700660_B,651611.5697669025,6867663.923986744,A,,,,,73.11Z,NAFRev2,O
323814632,00127,32381463200127,O,2015-08-17,31,2023,,2025-07-08T11:01:03.657,true,A,O,,1982-01-01,5710,EIFFAGE ENERGIE SYSTEMES - CLEVIA IDF,,,,,,,,,,,43.22B,NAFRev2,,N,,32,2023,00127,2025-07-08T11:01:03.645,GE,2023,3-7,3,,,PLACE,DE L’EUROPE,78140,VELIZY-VILLACOUBLAY,,78640,,,786400187_B,641611.2271414587,6853512.201397476,A,,,,,43.22B,NAFRev2,O
323841353,00911,32384135300911,O,1997-06-01,51,2023,,2024-03-30T03:29:29.92,true,A,O,,1982-01-01,8110,CAISSE PRIMAIRE ASSURANCE MALADIE PARIS,CPAMP,,,,,,,,,,84.30A,NAFRev2,,N,,51,2023,00911,2024-03-22T09:28:19,ETI,2023,,21,,,RUE,GEORGES AURIC,75019,PARIS,,75119,,,751194109_B,654919.2031058847,6865193.878064258,A,,,,,84.30A,NAFRev2,O
323903831,00010,32390383100010,O,1982-02-09,21,2023,,2025-04-06T02:07:26.549,true,A,O,,1982-02-09,5710,SAS SARRETTE,,,,,,,,,,,86.10Z,NAFRev2,,N,,21,2023,00010,2025-03-03T15:41:16.322,ETI,2023,,29,,,RUE,SARRETTE,75014,PARIS,,75114,,,751148826_B,650761.9436191918,6858668.77805195,A,,,,,86.10Z,NAFRev2,O
323912998,00081,32391299800081,O,2020-08-24,32,2023,,2025-02-18T02:15:13.639,true,A,O,,1982-01-14,5710,EUROGROUP CONSULTING,,,,,,,,,,,70.22Z,NAFRev2,,N,,32,2023,00081,2024-09-19T05:16:51.112,ETI,2023,IMMEUBLE WORKSTATION,25,,,QUAI,DU PRESIDENT PAUL DOUMER,92400,COURBEVOIE,,92026,,,920267180_B,645580.8565242556,6865980.029016874,A,,,,,70.22Z,NAFRev2,O
323914143,00132,32391414300132,O,2020-09-15,42,2023,,2024-03-30T08:37:13.168,true,A,O,,1982-01-01,8110,CAISSE PRIMAIRE ASSURANCE MALADIE 94,CPAM 94,,,,,,,,,,84.30A,NAFRev2,,N,,42,2023,00132,2024-03-22T09:28:19,ETI,2023,93-95,93,,,AVENUE,DU GENERAL DE GAULLE,94000,CRETEIL,,94028,,,940284138_B,659391.3259725149,6855167.925889469,A,,,,,84.30A,NAFRev2,O
323961680,00044,32396168000044,O,1995-01-23,31,2023,,2025-02-15T02:19:04.653,true,A,O,,1982-04-01,5710,DRAGER FRANCE,,,,,,,,,,,46.46Z,NAFRev2,,N,,32,2023,00044,2025-08-11T16:01:08.275,ETI,2023,PARC DE HAUTE TECHNOLOGIE,25,,,RUE,GEORGES BESSE,92160,ANTONY,,92002,,,920024162_B,649227.6981806441,6847977.826614872,A,,,,,46.46Z,NAFRev2,O
323983502,00036,32398350200036,O,2017-03-01,21,2023,,2025-02-16T02:17:02.781,true,A,O,,1982-03-01,5710,SOC FRANC ETUD REAL ASSIS TECH,SOFRAT,,,,,,,,,,71.12B,NAFRev2,,N,,21,2023,00036,2024-03-22T09:28:19,PME,2023,76-78,76,,,RUE,SAINT-LAZARE,75009,PARIS,,75109,,,751098673_B,650863.2574353181,6864215.054038198,A,,,,,71.12B,NAFRev2,O
323998690,00461,32399869000461,O,2008-05-09,22,2023,,2025-01-19T02:08:36.569,true,A,O,,1982-01-21,5710,ESPACE EXPANSION,,,,,,,,,,,68.31Z,NAFRev2,,N,,32,2023,00461,2025-10-31T10:31:39.681,ETI,2023,,7,,,PLACE,DU CHANCELIER ADENAUER,75016,PARIS,,75116,,,751161683_B,647110.8857885675,6863664.633066491,A,,,,,68.32A,NAFRev2,O
324021542,00117,32402154200117,O,1996-09-20,22,2023,,2025-06-16T13:02:11.687,true,A,O,,1982-01-01,5499,AUDIT FINAN INFOR GEST EXPERT,AFIGEC,,,,,,,,,,69.20Z,NAFRev2,,N,,31,2023,00117,2025-10-29T06:00:35.111,ETI,2023,26 28,26,,,RUE,MARIUS AUFAN,92300,LEVALLOIS-PERRET,,92044,,,920446140_B,647658.6153456141,6865682.419976965,A,,,,,69.20Z,NAFRev2,O
324031137,00106,32403113700106,O,2016-03-10,21,2023,,2025-11-13T13:33:20.498,true,A,O,,1982-03-01,5710,INTERNATIONAL MANAGEMENT GROUP,IMG,,,,,,,,,,93.29Z,NAFRev2,,N,,21,2023,00106,2025-11-13T13:33:20.49,ETI,2023,,20,,,RUE,DE LA BAUME,75008,PARIS,,75108,,,751085190_B,649639.8546548077,6864070.104005926,A,IMG MODELS,,,IMG MODELS,93.29Z,NAFRev2,O
324095884,00056,32409588400056,O,2009-04-01,51,2023,,2025-02-01T02:51:52.705,true,A,O,,1982-02-02,5710,EURO DEFENSE SERVICE,EDS,,,,,,,,,,81.21Z,NAFRev2,,N,,51,2023,00056,2024-03-22T09:28:19,ETI,2023,,5,,,AVENUE,HENRI COLIN,92230,GENNEVILLIERS,,92036,,,920364441_B,650232.5300607802,6869740.919976656,A,,,,GROUPE LA BRENNE,81.21Z,NAFRev2,O
324103829,00721,32410382900721,O,2019-08-01,41,2023,,2025-02-13T02:35:50.422,true,A,O,,1982-04-01,5710,SPIE ICS,,,,,,,,,,,62.02A,NAFRev2,,N,,51,2023,00721,2025-07-18T17:56:34.079,GE,2023,CS 20032- 92247 MALAKOFF CEDEX,148,,,AVENUE,PIERRE BROSSOLETTE,92240,MALAKOFF,,92046,,,920467142_B,648939.11,6857512.43,A,,,,,62.02A,NAFRev2,O
324229434,00034,32422943400034,O,2012-03-28,22,2023,,2025-07-15T16:00:45.196,true,A,O,,1982-03-26,5710,DUNO,,,,,,,,,,,47.11F,NAFRev2,,,,22,2023,00034,2025-07-15T16:00:45.165,ETI,2023,ZAC DE MONTVRAIN II,2,,,RUE,JEAN COCTEAU,91540,MENNECY,,91386,,,913860758_B,659481.4999896457,6829611.189713875,A,,,,,47.11F,NAFRev2,O
324321983,00037,32432198300037,O,1989-01-19,21,2023,,2024-12-28T05:14:15.741,true,C,O,,1982-04-01,5710,NETTOYAGE INDUSTRIEL LOCAUX ENTREPRISE,NILE,,,,,,,,,,81.21Z,NAFRev2,,N,,21,2023,00037,2024-12-28T05:14:15.724,PME,2023,ZONE DE L'ACQUEDUC N°15,14,,,RUE,GEORGES POMPIDOU,78690,LES ESSARTS-LE-ROI,,78220,,,782200319_B,618895.168801774,6847863.219746097,F,,,,,81.21Z,NAFRev2,O
324357151,00079,32435715100079,O,2014-11-17,21,2023,,2025-06-20T05:20:58.432,true,A,O,,1982-03-20,5599,MGI DIGITAL TECHNOLOGY,,,,,,,,,,,28.99A,NAFRev2,,N,,22,2023,00079,2025-06-20T05:20:58.412,PME,2023,,4,,,RUE,DE LA MERIDIENNE,94260,FRESNES,,94034,,,940346156_B,651231.9024431227,6850497.7303410685,A,,,,,28.99A,NAFRev2,O
324372226,00054,32437222600054,O,1990-10-30,21,2023,,2025-02-15T02:06:35.434,true,A,O,,1982-04-23,5710,AIREL,,,,,,,,,,,32.50A,NAFRev2,,N,,21,2023,00054,2024-03-22T09:28:19,PME,2023,ZAC DES GRANDS GODETS,917,,,RUE,MARCEL PAUL,94500,CHAMPIGNY-SUR-MARNE,,94017,,,940176138_B,665657.4944259495,6856717.036506248,A,,,,,32.50A,NAFRev2,O
324379866,00019,32437986600019,O,1982-03-26,22,2023,,2025-01-17T02:58:23.845,true,A,O,,1982-03-26,5599,G7,,,,,,,,,,,49.32Z,NAFRev2,,N,,31,2023,00019,2024-07-10T10:22:38.66,ETI,2023,022-028,22,,,RUE,HENRI BARBUSSE,92110,CLICHY,,92024,,,920244420_B,648969.6963172101,6866771.849269042,A,,,,,49.32Z,NAFRev2,O
324399898,00299,32439989800299,O,2022-04-01,21,2023,,2024-03-30T06:53:12.277,true,A,O,,1982-04-22,5710,C A,,,,,,,,,,,62.02A,NAFRev2,,N,,21,2023,00299,2024-03-22T09:28:19,PME,2023,1-7,1,,,COURS,VALMY,92800,PUTEAUX,,92062,,,920629618_B,643818.3123280016,6866090.053002699,A,,,,,62.02A,NAFRev2,O
324552421,00053,32455242100053,O,2008-06-20,21,2023,,2025-02-08T02:11:35.241,true,A,O,,1982-02-01,9220,ASS SOINS DOMICILE MELUN REGION,ASDMR,,,,,,,,,,86.90D,NAFRev2,W772000940,O,,21,2023,00053,2024-03-22T09:28:19,PME,2023,,24,,,RUE,DU COLONEL PICOT,77000,MELUN,,77288,,,772880325_B,674603.3323044059,6827773.643386882,A,,,,,86.90D,NAFRev2,O
324590413,00104,32459041300104,O,2004-04-01,22,2023,,2025-02-15T02:14:41.737,true,A,O,,1982-05-14,5710,AAREON FRANCE,,,,,,,,,,,58.29C,NAFRev2,,N,,31,2023,00104,2024-03-22T09:28:19,ETI,2023,9 A 11 IMMEUBLE NEWTON,9,,,RUE,JEANNE BRACONNIER,92360,MEUDON,,92048,,,920481311_B,642086.543151109,6854697.763106684,A,,,,,58.29C,NAFRev2,O
324613678,01285,32461367801285,O,2018-07-02,22,2023,,2025-11-05T15:36:07.71,true,A,O,,1982-05-01,5710,BRINK'S EVOLUTION,,,,,,,,,,,80.10Z,NAFRev2,,N,,51,2023,01285,2025-11-06T10:25:28.142,ETI,2023,41-45,41,,,BOULEVARD,ROMAIN ROLLAND,75014,PARIS,,75114,,,751148332_B,650093.1372184083,6858093.832627738,A,,,,,80.10Z,NAFRev2,O
324668144,00037,32466814400037,O,1992-01-01,21,2023,,2025-01-24T03:14:55.996,true,A,O,,1982-03-09,5710,SEGIC INGENIERIE,,,,,,,,,,,71.12B,NAFRev2,,,,21,2023,00037,2024-12-24T05:25:25.61,PME,2023,ZAC DES GODETS,7,,,RUE,DES PETITS RUISSEAUX,91370,VERRIERES-LE-BUISSON,,91645,,,916451665_B,647246.5124355564,6849890.684525311,A,,,,,71.12B,NAFRev2,O
324718915,00055,32471891500055,O,2021-01-21,22,2023,,2025-09-17T13:02:39.039,true,A,O,,1982-09-08,5710,DELOSTAL ET THIBAULT,,,,,,,,,,,43.22B,NAFRev2,,N,,22,2023,00055,2025-09-17T13:02:39.025,ETI,2023,,54,,,RUE,LAMBRECHTS,92400,COURBEVOIE,,92026,,,920265110_B,645812.4590016205,6866821.782277155,A,,,,,43.22B,NAFRev2,O
324789155,00037,32478915500037,O,2006-12-20,22,2023,,2024-03-30T08:18:26.388,true,A,O,,1981-03-01,9220,ASSO SOIN SERVICE DOMICILE,ASSAD,,,,,,,,,,86.90D,NAFRev2,,O,,22,2023,00037,2024-03-22T09:28:19,PME,2023,,201,,,RUE,LECOURBE,75015,PARIS,,75115,,,751155456_B,648274.1617431781,6860244.0885949815,A,,,,,86.90D,NAFRev2,O
324814219,00097,32481421900097,O,2020-07-01,31,2023,,2025-01-20T03:08:30.831,true,A,O,,1982-06-01,5202,ALTAREA FRANCE,,,,,,,,,,,68.32A,NAFRev2,,N,,31,2023,00097,2024-03-22T09:28:19,GE,2023,,87,,,RUE,DE RICHELIEU,75002,PARIS,,75102,,,751028212_B,651515.2280706181,6863554.587773344,A,,,,ALTAREA COMMERCE,68.32A,NAFRev2,O
324847094,00277,32484709400277,O,2008-07-01,22,2023,,2025-04-14T10:01:16.954,true,A,O,,1982-06-01,5710,XELIANS ARCHIVAGE,,,,,,,,,,,52.10B,NAFRev2,,N,,41,2023,00277,2025-04-14T10:01:16.938,ETI,2023,ZI VAL DE SEINE,15,,,AVENUE,MARCELLIN BERTHELOT,92390,VILLENEUVE-LA-GARENNE,,92078,,,920785158_B,649770.6044732006,6871912.451509714,A,,,,ARCHIVECO - LOCARCHIVES,52.10B,NAFRev2,O
324896091,00034,32489609100034,O,2006-09-28,21,2023,,2025-06-16T15:00:33.008,true,A,O,,1981-06-01,5499,PLAYMOBIL FRANCE SARL,,,,,,,,,,,46.49Z,NAFRev2,,N,,21,2023,00034,2025-06-16T15:00:32.996,ETI,2023,ZAC DU BOIS CHAL,12,,,RUE,DES PYRENEES,91090,LISSES,,91340,,,913400060_B,658227.6237740876,6833986.547266929,A,,,,,46.49Z,NAFRev2,O
324896257,00015,32489625700015,O,1982-06-01,21,2023,,2025-01-24T02:16:06.214,true,A,O,,1982-06-01,5499,NANTERRE AMANDIERS SARL,,,,,,,,,,,90.01Z,NAFRev2,,N,,21,2023,00015,2024-03-22T09:28:19,PME,2023,,7,,,AVENUE,PABLO PICASSO,92000,NANTERRE,,92050,,,920507010_B,642371.0826652689,6866181.008734862,A,,,,,90.01Z,NAFRev2,O
324896398,00355,32489639800355,O,2018-07-02,21,2023,,2025-11-13T19:01:19.235,true,A,O,,1982-06-30,5710,LAVAZZA FRANCE,,,,,,,,,,,46.37Z,NAFRev2,,N,,31,2023,00355,2025-11-13T19:01:19.227,ETI,2023,IMMEUBLE ARDEKO,58,,,AVENUE,EMILE ZOLA,92100,BOULOGNE-BILLANCOURT,,92012,,,920123160_B,644124.7637115209,6858872.730820505,A,,,,,46.37Z,NAFRev2,O
324919323,00042,32491932300042,O,2004-11-16,22,2023,,2025-03-10T07:00:54.211,true,A,O,,1982-06-01,5710,HOURA,,,,,,,,,,,47.91A,NAFRev2,,N,,31,2023,00042,2025-03-10T07:00:54.188,GE,2023,PARC GUSTAVE EIFFEL,36,,,AVENUE,DE L'EUROPE,77600,BUSSY-SAINT-GEORGES,,77058,,,770580078_B,680826.7477144904,6859411.50139713,A,,,,,47.91A,NAFRev2,O
325002111,00012,32500211100012,O,1982-01-01,32,2023,,2025-01-23T02:25:22.904,true,A,O,,1982-01-01,9220,ESTP - GRANDE ECOLE D'INGENIEURS DE LA CONSTRUCTION,ESTP,,,,,,,,,,85.42Z,NAFRev2,W943002262,O,,41,2023,00012,2025-10-04T05:11:30.208,ETI,2023,,28,,,AVENUE,DU PRESIDENT WILSON,94230,CACHAN,,94016,,,940167190_B,650797.6652785467,6855003.50858821,A,,,,,85.42Z,NAFRev2,O
325020733,00052,32502073300052,O,1997-08-18,32,2023,,2025-05-13T13:31:22.324,true,A,O,,1982-07-01,5710,SURYS,,,,,,,,,,,18.12Z,NAFRev2,,N,,32,2023,00052,2025-05-13T13:31:22.308,ETI,2023,PARC D'ACTIVITE G EIFFEL,22,,,AVENUE,DE L'EUROPE,77600,BUSSY-SAINT-GEORGES,,77058,,,770580078_B,679982.0328177753,6859251.236470165,A,,,,,18.12Z,NAFRev2,O
325020998,00010,32502099800010,O,1982-01-01,22,2023,,2025-07-05T15:31:59.695,true,A,O,,1982-01-01,5699,EDITIONS ALBIN MICHEL,,,,,,,,,,,58.11Z,NAFRev2,,N,,31,2023,00010,2025-07-05T15:31:59.669,ETI,2023,,22,,,RUE,HUYGHENS,75014,PARIS,,75114,,,751144684_B,650677.3619660572,6860264.391684179,A,,,,,58.11Z,NAFRev2,O
325033298,00069,32503329800069,O,2014-07-24,22,2023,,2025-10-24T17:33:18.306,true,A,O,,1982-07-01,5710,LES EDITIONS CROQUE FUTUR,,,,,,,,,,,58.14Z,NAFRev2,,N,,31,2023,00069,2025-10-24T17:33:18.295,ETI,2023,41-41,41,B,41,AVENUE,BOSQUET,75007,PARIS 07,,75107,,,751071119_C,648947.21072942,6862215.119943074,A,,,,,58.14Z,NAFRev2,O
325041481,00236,32504148100236,O,2016-10-10,32,2023,,2025-02-18T02:19:34.222,true,A,O,,1982-07-01,5710,EUROPEAN APPLIANCES FRANCE SAS,,,,,,,,,,,46.43Z,NAFRev2,,N,,32,2023,00236,2025-03-20T13:58:08.786,ETI,2023,11-13,11,,,COURS,VALMY,92800,PUTEAUX,,92062,,,920629618_B,643726.7026368049,6866057.359146344,A,,,,,46.43Z,NAFRev2,O
325062404,00042,32506240400042,O,2018-09-03,22,2023,,2025-07-04T09:00:50.315,true,A,O,,1982-07-01,5710,SEIP ILE DE FRANCE,,,,,,,,,,,42.21Z,NAFRev2,,N,,22,2023,00042,2025-07-04T09:00:50.282,ETI,2023,,4,,,ALLEE,DES DEVODES,91160,SAULX-LES-CHARTREUX,,91587,,,915870621_B,646084.7027137915,6844349.029846258,A,,,,,42.21Z,NAFRev2,O
325092328,00286,32509232800286,O,2022-09-26,22,2023,,2025-10-10T20:00:51.307,true,A,O,,1982-07-01,5710,AMETRA,,,,,,,,,,,71.12B,NAFRev2,,N,N,32,2023,00286,2025-10-10T20:00:51.293,ETI,2023,,1,,,AVENUE,DU GENERAL DE GAULLE,92140,CLAMART,,92023,,,920234152_B,646490.4142335983,6855074.334047572,A,,,,AMETRA ENGINEERING,71.12B,NAFRev2,O
325124535,00171,32512453500171,O,2022-04-01,21,2023,,2025-11-12T17:00:58.698,true,A,O,,1981-01-01,5710,TECHNIVAP,,,,,,,,,,,81.22Z,NAFRev2,,N,,31,2023,00171,2025-11-12T17:00:58.68,ETI,2023,ZAC DES EPINEAUX,7,,,AVENUE,LOUIS BLERIOT,95740,FREPILLON,,95256,,,952560450_B,641178.8779930735,6883436.600525652,A,,,,,81.22Z,NAFRev2,O
325168029,00107,32516802900107,O,2023-06-30,21,2023,,2025-02-18T02:18:31.326,true,A,O,,1982-12-03,5710,TRIGONE,GTI,,,,,,,,,,62.03Z,NAFRev2,,N,,21,2023,00107,2024-11-08T05:11:52.126,PME,2023,,3,,,PLACE,AIME CESAIRE,93100,MONTREUIL,,93048,,,930480019_B,659059.4317067387,6862434.958079178,A,,,,,62.02A,NAFRev2,O
325186617,00065,32518661700065,O,1999-12-01,22,2023,,2025-03-04T14:01:19.559,true,A,O,,1982-03-24,5710,GALDERMA INTERNATIONAL,,,,,,,,,,,46.46Z,NAFRev2,,N,,22,2023,00065,2025-03-04T14:01:19.545,ETI,2023,LA DEFENSE 4,20,,,AVENUE,ANDRE PROTHIN,92400,COURBEVOIE,,92026,,,920260067_B,644609.3259692031,6866040.396032107,A,,,,,46.46Z,NAFRev2,O
325222651,00060,32522265100060,O,2020-04-07,21,2023,,2025-02-08T02:18:15.397,true,A,O,,1982-06-01,5710,SOTRELEC,,,,,,,,,,,43.21A,NAFRev2,,N,,21,2023,00060,2024-03-22T09:28:19,PME,2023,,3,,,ALLEE,EMILE REYNAUD,77200,TORCY,,77468,,,774680146_B,675164.0302585217,6859276.327290989,A,,,,,43.21A,NAFRev2,N
325231272,00072,32523127200072,O,2022-12-12,32,2023,,2025-05-11T02:06:55.506,true,A,O,,1982-08-01,5202,BERTRAND CASUAL FOOD SERVICES SNC,,,,,,,,,,,56.10A,NAFRev2,,N,,32,2023,00072,2025-10-30T10:01:42.967,GE,2023,,55,,,RUE,DEGUINGAND,92300,LEVALLOIS-PERRET,,92044,,,920442530_B,648444.7333532048,6866284.647832415,A,,,,,56.10A,NAFRev2,O
325268746,00063,32526874600063,O,2011-01-27,21,2023,,2025-02-08T02:08:48.671,true,A,O,,1982-05-15,5710,SOCIETE DE GARDIENNAGE PROTECTION ET SECURITE,SGPS,,,,,,,,,,80.10Z,NAFRev2,,N,,21,2023,00063,2024-05-01T05:14:46.555,PME,2023,,62,,,ROUTE,DE L'EMPEREUR,92500,RUEIL-MALMAISON,,92063,,,920631210_B,639543.12,6863246.28,A,SGPS,,,S.G.P.S.,80.10Z,NAFRev2,O
