siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,societeMissionUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,codeCommuneEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
100000017,00010,10000001700010,O,1983-03-01,41,2023,,2024-03-30T10:52:55.69,true,A,O,,1947-01-16,7111,REPUBLIQUE FRANCAISE PRESIDENCE,,,,,,,,,,,84.11Z,NAFRev2,,,,41,2023,00010,2024-03-22T09:28:19,ETI,2023,,55,,,RUE,DU FAUBOURG SAINT-HONORE,75008,PARIS,,75108,,,751083518_B,649894.7914437235,6863617.084832696,A,,,,,84.11Z,NAFRev2,N
110000015,00013,11000001500013,O,1983-03-01,51,2023,,2024-03-30T11:02:55.812,true,A,O,,1959-01-08,7111,ASSEMBLEE NATIONALE,,,,,,,,,,,84.11Z,NAFRev2,,,,51,2023,00013,2024-03-22T09:28:19,ETI,2023,,126,,,RUE,DE L'UNIVERSITE,75007,PARIS,,75107,,,751079527_B,650008.2465368133,6862525.78778121,A,,,,,84.11Z,NAFRev2,N
110000023,00017,11000002300017,O,1983-03-01,42,2023,,2024-03-30T12:34:20.718,true,A,O,,1959-01-08,7111,SENAT,,,,,,,,,,,84.11Z,NAFRev2,,,,42,2023,00017,2024-03-22T09:28:19,ETI,2023,,15,,,RUE,DE VAUGIRARD,75006,PARIS,,75106,,,751069624_B,651372.0123832403,6861218.046763869,A,,,,,84.11Z,NAFRev2,O
110000031,00010,11000003100010,O,1983-03-01,32,2023,,2025-01-24T02:33:38.469,true,A,O,,1959-01-08,7111,CONSEIL ECONOMIQUE SOCIAL ET ENVIRONNEMENTAL,CESE,,,,,,,,,,84.11Z,NAFRev2,,,,32,2023,00010,2024-09-12T15:08:10.74,ETI,2023,,9,,,PLACE,D'IENA,75016,PARIS,,75116,,,751164695_B,648125.9700327122,6862916.4138201075,A,,,,,84.11Z,NAFRev2,O
110000049,00012,11000004900012,O,1983-03-01,22,2023,,2025-02-12T02:10:07.028,true,A,O,,1959-01-08,7111,CONSEIL CONSTITUTIONNEL,,,,,,,,,,,84.11Z,NAFRev2,,,,22,2023,00012,2024-03-22T09:28:19,PME,2023,,2,,,RUE,DE MONTPENSIER,75001,PARIS,,75101,,,751016528_B,651296.6175224991,6862838.403571745,A,,,,,84.11Z,NAFRev2,N
110000072,00014,11000007200014,O,1997-06-11,32,2023,,2025-10-16T17:01:42.346,true,A,O,,1997-06-11,7113,MINISTERE DU TRAVAIL ET DES SOLIDARITES,,,,,,,,,,,84.11Z,NAFRev2,,N,,32,2023,00014,2025-10-16T17:01:42.326,ETI,2023,,14,,,AVENUE,DUQUESNE,75007,PARIS,,75107,,,751073023_B,649302.59,6861563.6,A,,,,,84.11Z,NAFRev2,O
110000106,00036,11000010600036,O,2010-02-22,22,2023,,2024-03-30T06:21:23.886,true,A,O,,2000-02-10,7112,COMMISSION DE REGULATION DE L'ENERGIE,CRE,,,,,,,,,,84.11Z,NAFRev2,,,,22,2023,00036,2024-03-22T09:28:19,PME,2023,,15,,,RUE,PASQUIER,75008,PARIS,,75108,,,751087082_B,650359.7095532027,6863794.894556133,A,,,,,84.11Z,NAFRev2,O
110000122,00033,11000012200033,O,2016-11-01,32,2023,,2025-01-15T03:19:59.081,true,A,O,,1978-01-06,7112,COMMISSION NATIONALE DE L'INFORMATIQUE ET DES LIBERTES,CNIL,,,,,,,,,,84.11Z,NAFRev2,,,,32,2023,00033,2024-03-22T09:28:19,ETI,2023,,3,,,PLACE,DE FONTENOY - UNESCO,75007,PARIS,,75107,,,751073730_B,649167.0992900516,6861402.100439235,A,,,,,84.11Z,NAFRev2,O
110000163,00011,11000016300011,O,1999-12-25,31,2023,,2025-01-25T02:10:33.768,true,A,O,,1999-12-25,7112,AUTORITE DE LA CONCURRENCE,,,,,,,,,,,84.11Z,NAFRev2,,,,31,2023,00011,2024-03-22T09:28:19,PME,2023,,11,,,RUE,DE L'ECHELLE,75001,PARIS,,75101,,,751013082_B,651182.3135496482,6862925.54550305,A,,,,,84.11Z,NAFRev2,O
110000239,00019,11000023900019,O,2003-11-01,41,2023,,2024-03-30T01:11:22.756,true,A,O,,2003-11-01,7112,AUTORITE DES MARCHES FINANCIERS,AMF,,,,,,,,,,84.11Z,NAFRev2,,,,41,2023,00019,2024-03-22T09:28:19,ETI,2023,,17,,,PLACE,DE LA BOURSE,75002,PARIS,,75102,,,751021216_B,651673.578304967,6863436.948998393,A,,,,,84.11Z,NAFRev2,O
110000262,00011,11000026200011,O,1983-03-01,41,2023,,2025-02-18T02:16:49.078,true,A,O,,1959-01-08,7112,COUR DE CASSATION,,,,,,,,,,,84.23Z,NAFRev2,,,,41,2023,00011,2025-01-07T05:32:14.54,ETI,2023,,5,,,QUAI,DE L'HORLOGE,75001,PARIS,,75101,,,751014655_B,651912.3333892757,6862046.080427362,A,,,,,84.23Z,NAFRev2,O
110000270,00014,11000027000014,O,1983-03-01,41,2023,,2025-02-06T02:10:58.342,true,A,O,,1972-05-24,7112,CONSEIL D'ETAT,,,,,,,,,,,84.23Z,NAFRev2,,,,42,2023,00014,2024-12-12T13:49:23.587,ETI,2023,,1,,,PLACE,DU PALAIS ROYAL,75001,PARIS,,75101,,,751017010_B,651299.7110602538,6862726.399558163,A,,,,,84.23Z,NAFRev2,O
110000288,00016,11000028800016,O,1983-03-01,41,2023,,2024-03-30T01:52:20.607,true,A,O,,1907-09-16,7112,COUR DES COMPTES,,,,,,,,,,,84.11Z,NAFRev2,,,,41,2023,00016,2024-03-22T09:28:19,ETI,2023,,13,,,RUE,CAMBON,75001,PARIS,,75101,,,751011449_B,650532.2460891472,6863203.055566744,A,,,,,84.11Z,NAFRev2,O
110000353,00034,11000035300034,O,2018-11-19,22,2023,,2024-03-30T03:11:17.591,true,A,O,,1997-01-01,7112,"AUTORITE DE REGULATION DES COMMUNICATIONS ELECTRONIQUES, DES POSTES ET DE LA DISTRIBUTION DE LA PRESSE",ARCEP,,,,,,,,,,84.11Z,NAFRev2,,N,,22,2023,00034,2024-03-22T09:28:19,PME,2023,,14,,,RUE,GERTY ARCHIMEDE,75012,PARIS,,75112,,,751124179_B,655113.5241051628,6859708.7133910945,A,,,,,84.11Z,NAFRev2,O
110000445,00020,11000044500020,O,2015-11-23,41,2023,,2024-03-29T23:00:44.344,true,A,O,,2005-01-01,7112,HAUTE AUTORITE DE SANTE,HAS,,,,,,,,,,84.11Z,NAFRev2,,,,41,2023,00020,2024-03-22T09:28:19,ETI,2023,,5,,,AVENUE,DU STADE DE FRANCE,93210,SAINT-DENIS,,93066,,,930668568_B,653230.897958609,6868709.721774816,A,,,,,84.11Z,NAFRev2,O
110001013,00017,11000101300017,O,1983-03-01,42,2023,,2025-02-16T02:25:28.164,true,A,O,,1959-01-08,7111,GOUVERNEMENT PREMIER MINISTRE,,,,,,,,,,,84.11Z,NAFRev2,,N,,42,2023,00017,2024-09-24T14:32:02.619,ETI,2023,HOTEL MATIGNON,57,,,RUE,DE VARENNE,75007,PARIS,,75107,,,751079597_B,650169.4515844438,6861835.964402622,A,,,,,84.11Z,NAFRev2,N
110002011,00044,11000201100044,O,1995-11-08,21,2023,,2025-01-19T02:21:27.041,true,A,O,,1981-06-23,7120,SERVICES DE L'ETAT POUR LA FACTURATION ELECTRONIQUE,,,,,,,,,,,84.11Z,NAFRev2,,N,,21,2023,00044,2025-01-01T05:38:27.7,PME,2023,,139,,,RUE,DE BERCY,75012,PARIS,,75112,,,751120881_B,654343.5731811675,6860285.944629063,A,DESTINATION ETAT VIA CHORUS PRO,,,,84.11Z,NAFRev2,O
110006012,00014,11000601200014,O,1983-03-01,21,2023,,2025-02-18T02:16:13.303,true,A,O,,1981-06-23,7113,MINISTERE DE L'EUROPE ET DES AFFAIRES ETRANGERES,,,,,,,,,,,84.11Z,NAFRev2,,N,,31,2023,00014,2025-10-16T10:30:46.033,PME,2023,,37,,,QUAI,D'ORSAY,75007,PARIS,,75107,,,751076952_B,649807.8790895407,6862738.35497045,A,,,,,84.11Z,NAFRev2,O
110010014,00014,11001001400014,O,1983-03-01,51,2023,,2025-02-05T02:19:17.227,true,A,O,,1981-06-23,7113,MINISTERE DE LA JUSTICE,,,,,,,,,,,84.23Z,NAFRev2,,N,,51,2023,00014,2025-10-16T10:31:36.76,ETI,2023,HOTEL DE BOURVALLAIS,13,,,PLACE,VENDOME,75001,PARIS,,75101,,,751019653_B,650758.6790185856,6863293.867126615,A,,,,,84.23Z,NAFRev2,O
110014016,00015,11001401600015,O,1983-03-01,42,2023,,2025-02-04T02:39:33.035,true,A,O,,1983-03-01,7113,MINISTERE DE L'INTERIEUR ,,,,,,,,,,,84.11Z,NAFRev2,,N,,52,2023,00015,2025-10-16T11:32:31.807,GE,2023,HOTEL DE BEAUVAU,,,,PLACE,BEAUVAU,75008,PARIS 08,,75108,,,751080799_C,649860.6149347279,6863685.76896752,A,,,,,84.11Z,NAFRev2,O
110020013,00097,11002001300097,O,1989-04-01,41,2023,,2025-02-14T02:26:37.441,true,A,O,,1983-03-01,7113,"MINISTERE DE L’ECONOMIE, DES FINANCES ET DE LA SOUVERAINETE INDUSTRIELLE, ENERGETIQUE ET NUMERIQUE",,,,,,,,,,,84.11Z,NAFRev2,,N,,41,2023,00097,2025-10-16T10:34:17.927,ETI,2023,TELEDOC 151,139,,,RUE,DE BERCY,75012,PARIS,,75112,,,751120881_B,654343.5731811675,6860285.944629063,A,,,,,84.11Z,NAFRev2,N
110043015,00012,11004301500012,O,1983-03-01,32,2023,,2025-02-17T02:08:48.412,true,A,O,,1981-06-23,7113, MINISTERE DE L’EDUCATION NATIONALE,,,,,,,,,,,84.11Z,NAFRev2,,N,,32,2023,00012,2025-10-16T11:40:02.944,ETI,2023,HOTEL DE ROCHECHOUART,110,,,RUE,DE GRENELLE,75007,PARIS,,75107,,,751074314_B,650166.2244283246,6862057.945423114,A,,,,,84.11Z,NAFRev2,O
